,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
292,BBF,BlackRock Municipal Income Investment Trust,Financial,Closed-End Fund - Debt,USA,138770000,67.51,13.57,0.67%,"39,843"
293,BBK,BlackRock Municipal Bond Trust,Financial,Closed-End Fund - Debt,USA,152580000,62.50,14.50,0.76%,"45,857"
294,BBL,BHP Group,Basic Materials,Industrial Metals & Minerals,United Kingdom,135940000000,14.39,50.39,-0.96%,"2,123,839"
298,BBT,BB&T Corporation,Financial,Regional - Southeast Banks,USA,36650000000,12.36,47.90,-1.32%,"4,418,780"
299,BBU,Brookfield Business Partners L.P.,Financial,Real Estate Development,Bermuda,2590000000,68.12,39.10,0.77%,"27,922"
300,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Financial,Foreign Regional Banks,Spain,40000000000,7.20,6.03,-0.33%,"6,320,555"
301,BBW,"Build-A-Bear Workshop, Inc.",Services,Toy & Hobby Stores,USA,84650000,-,5.83,-4.43%,"79,782"
302,BBX,BBX Capital Corporation,Financial,Property Management,USA,717850000,17.14,6.24,-2.04%,"131,667"
303,BBY,"Best Buy Co., Inc.",Services,Electronics Stores,USA,19960000000,14.23,74.75,-0.09%,"1,772,368"
304,BC,Brunswick Corporation,Consumer Goods,"Recreational Goods, Other",USA,4470000000,17.48,51.16,-2.18%,"282,346"
305,BCC,Boise Cascade Company,Industrial Goods,"Lumber, Wood Production",USA,1060000000,67.76,27.17,-3.38%,"202,779"
307,BCE,BCE Inc.,Technology,Telecom Services - Domestic,Canada,40130000000,19.25,44.65,-0.49%,"803,839"
308,BCEI,"Bonanza Creek Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,472280000,2.82,22.99,-2.95%,"183,746"
309,BCH,Banco de Chile,Financial,Foreign Regional Banks,Chile,15120000000,50.68,29.90,-0.27%,"26,815"
312,BCO,The Brink's Company,Services,Security & Protection Services,USA,3920000000,-,77.42,-2.07%,"367,639"
313,BCRH,Blue Capital Reinsurance Holdings Ltd.,Financial,Property & Casualty Insurance,Bermuda,60950000,-,7.03,-0.85%,445
314,BCS,Barclays PLC,Financial,Foreign Money Center Banks,United Kingdom,36830000000,13.69,8.38,-0.71%,"2,483,587"
315,BCSF,"Bain Capital Specialty Finance, Inc.",Financial,Asset Management,USA,1050000000,31.53,20.24,1.45%,"114,581"
316,BCV,Bancroft Fund Ltd.,Financial,Closed-End Fund - Debt,USA,112190000,19.23,21.35,-1.76%,"7,566"
318,BDC,Belden Inc.,Industrial Goods,Industrial Electrical Equipment,USA,2220000000,18.61,57.06,-1.93%,"182,579"
323,BDJ,BlackRock Enhanced Equity Dividend Trust,Financial,Closed-End Fund - Equity,USA,1630000000,-,8.71,-0.80%,"267,019"
324,BDL,"Flanigan's Enterprises, Inc.",Services,Specialty Eateries,USA,44230000,11.37,23.65,-0.08%,"3,114"
325,BDN,Brandywine Realty Trust,Financial,REIT - Diversified,USA,2770000000,20.91,15.81,-0.88%,"1,103,099"
326,BDR,"Blonder Tongue Laboratories, Inc.",Technology,Communication Equipment,USA,10770000,-,1.14,9.62%,"10,697"
328,BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,USA,67290000000,51.92,249.77,-0.49%,"1,341,120"
330,BE,Bloom Energy Corporation,Utilities,Electric Utilities,USA,1400000000,-,12.34,-0.32%,"772,324"
331,BEDU,Bright Scholar Education Holdings Limited,Services,Education & Training Services,China,1340000000,32.58,10.75,0.94%,"29,564"
332,BEL,Belmond Ltd.,Services,Lodging,Bermuda,3020000000,-,24.93,-0.04%,"289,268"
333,BEN,"Franklin Resources, Inc.",Financial,Asset Management,USA,17240000000,11.92,34.26,-2.81%,"2,917,173"
334,BEP,Brookfield Renewable Partners L.P.,Utilities,Diversified Utilities,Bermuda,9950000000,123.81,31.82,-0.56%,"97,028"
335,BERY,"Berry Global Group, Inc.",Consumer Goods,Packaging & Containers,USA,7290000000,19.08,55.57,-0.86%,"1,334,104"
336,BEST,BEST Inc.,Services,Trucking,China,1820000000,-,5.06,-2.88%,"477,213"
337,BF-A,Brown-Forman Corporation,Consumer Goods,Beverages - Wineries & Distillers,USA,8770000000,31.87,51.91,-0.40%,"14,906"
338,BF-B,Brown-Forman Corporation,Consumer Goods,Beverages - Wineries & Distillers,USA,24910000000,36.84,52.86,-0.30%,"874,592"
339,BFAM,Bright Horizons Family Solutions Inc.,Services,Personal Services,USA,7340000000,47.60,127.47,-0.20%,"111,466"
340,BFK,BlackRock Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,616880000,-,13.76,0.36%,"105,664"
341,BFO,BlackRock Florida Municipal 2020 Term Trust,Financial,Exchange Traded Fund,USA,79430000,-,14.28,-0.17%,"21,278"
343,BFR,BBVA Banco Frances S.A.,Financial,Foreign Regional Banks,Argentina,1790000000,8.14,8.84,-3.91%,"749,451"
344,BFS,"Saul Centers, Inc.",Financial,REIT - Retail,USA,1190000000,33.05,52.98,-0.62%,"42,017"
345,BFY,BlackRock New York Municipal Income Trust II,Financial,Asset Management,USA,67970000,-,13.58,0.15%,"20,837"
346,BFZ,BlackRock California Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,412340000,92.32,12.93,-0.04%,"49,309"
347,BG,Bunge Limited,Consumer Goods,Farm Products,USA,7490000000,40.76,53.11,-0.78%,"1,884,700"
349,BGG,Briggs & Stratton Corporation,Industrial Goods,Diversified Machinery,USA,523030000,-,12.60,-0.94%,"216,395"
351,BGI,Birks Group Inc.,Services,Jewelry Stores,Canada,18150000,-,1.05,0.00%,411
353,BGR,BlackRock Energy and Resources Trust,Financial,Closed-End Fund - Equity,USA,365960000,-,12.27,-0.65%,"99,623"
354,BGS,"B&G Foods, Inc.",Consumer Goods,Processed & Packaged Goods,USA,1540000000,9.40,24.04,0.38%,"402,914"
355,BGSF,"BG Staffing, Inc.",Services,Staffing & Outsourcing Services,USA,213560000,12.08,21.42,-1.83%,"37,507"
356,BGT,BlackRock Floating Rate Income Trust,Financial,Closed-End Fund - Debt,USA,293710000,22.44,12.41,-0.08%,"232,715"
358,BGY,BlackRock Enhanced International Dividend Trust,Financial,Closed-End Fund - Foreign,USA,608490000,-,5.58,-0.36%,"257,404"
359,BH,Biglari Holdings Inc.,Services,Restaurants,USA,438790000,16.17,141.09,-2.82%,"4,911"
360,BH-A,Biglari Holdings Inc.,Services,Restaurants,USA,152870000,13.27,739.00,-0.16%,60
361,BHB,Bar Harbor Bankshares,Financial,Regional - Northeast Banks,USA,400240000,12.12,25.64,-1.95%,"12,588"
